2024-10-28 20:40:51.951 [info] Extension host with pid 5435 started
2024-10-28 20:40:51.951 [info] Skipping acquiring lock for /home/alex/.config/Code - OSS/User/workspaceStorage/c320d4b46e34a41bf9e35fbcc8c35f8a.
2024-10-28 20:40:52.051 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-10-28 20:40:52.066 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: 'onLanguage:ignore'
2024-10-28 20:40:52.108 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-10-28 20:40:52.166 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-10-28 20:40:52.220 [info] Eager extensions activated
2024-10-28 20:40:52.239 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.240 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.266 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.270 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc-icons, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.332 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.389 [info] ExtensionService#_doActivateExtension ritwickdey.LiveServer, startup: false, activationEvent: 'onStartupFinished'
2024-10-28 20:40:52.480 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2024-10-28 20:40:52.488 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-10-28 20:40:52.530 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2024-10-28 20:40:52.659 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2024-10-28 20:42:04.684 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2024-10-28 20:42:04.696 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
2024-10-28 20:42:05.111 [info] ExtensionService#_doActivateExtension vscode.markdown-math, startup: false, activationEvent: 'api', root cause: vscode.markdown-language-features
2024-10-28 21:01:37.852 [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:scss'
2024-10-28 21:06:29.027 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
